Episode,Action,Legal Moves,Q-Values,Reward,Total Reward,State,Next State,Done
0,0,0,"[0, 1, 3]","[0.2563948333263397, 0.05254024267196655, 0.039926767349243164, -0.35502079129219055]",0.4,21.9,"[[ 0  4  2  4]
 [ 0 16  4  8]
 [ 0  0  0  2]
 [ 0  0  0  2]]","[[ 4  2  4  0]
 [16  4  8  0]
 [ 2  0  0  0]
 [ 2  0  0  2]]",False
0,0,0,"[0, 1, 2, 3]","[0.5857637524604797, -0.018038809299468994, 0.15655671060085297, -0.5065604448318481]",0.8,22.7,"[[ 4  2  4  0]
 [16  4  8  0]
 [ 2  0  0  0]
 [ 2  0  0  2]]","[[ 4  2  4  2]
 [16  4  8  0]
 [ 2  0  0  0]
 [ 4  0  0  0]]",False
0,0,2,"[2, 3]","[0.5922080278396606, -0.0035667046904563904, 0.13702955842018127, -0.5249374508857727]",0.4,23.099999999999998,"[[ 4  2  4  2]
 [16  4  8  0]
 [ 2  0  0  0]
 [ 4  0  0  0]]","[[ 4  2  4  2]
 [ 0 16  4  8]
 [ 0  0  0  2]
 [ 0  2  0  4]]",False
0,0,2,"[0, 1, 2, 3]","[0.28052857518196106, 0.06185922026634216, 0.02589627355337143, -0.3978068232536316]",0.4,23.499999999999996,"[[ 4  2  4  2]
 [ 0 16  4  8]
 [ 0  0  0  2]
 [ 0  2  0  4]]","[[ 4  2  4  2]
 [ 0 16  4  8]
 [ 0  0  2  2]
 [ 0  0  2  4]]",False
0,0,3,"[0, 1, 2, 3]","[0.300343781709671, 0.021449849009513855, 0.04748404398560524, -0.43563249707221985]",1.6,25.099999999999998,"[[ 4  2  4  2]
 [ 0 16  4  8]
 [ 0  0  2  2]
 [ 0  0  2  4]]","[[ 0  0  0  2]
 [ 0  0  0  8]
 [ 2  2  8  2]
 [ 4 16  4  4]]",False
0,0,3,"[0, 1, 2]","[0.4529860019683838, -0.20036375522613525, 0.14095817506313324, -0.5437581539154053]",-1,24.099999999999998,"[[ 0  0  0  2]
 [ 0  0  0  8]
 [ 2  2  8  2]
 [ 4 16  4  4]]","[[ 0  0  0  2]
 [ 0  0  0  8]
 [ 2  2  8  2]
 [ 4 16  4  4]]",False
0,0,0,"[0, 1, 2]","[0.4529860019683838, -0.20036375522613525, 0.14095817506313324, -0.5437581539154053]",1.6,25.7,"[[ 0  0  0  2]
 [ 0  0  0  8]
 [ 2  2  8  2]
 [ 4 16  4  4]]","[[ 2  4  0  0]
 [ 8  0  0  0]
 [ 4  8  2  0]
 [ 4 16  8  0]]",False
0,0,2,"[1, 2, 3]","[0.7262479066848755, -0.034468114376068115, 0.30543574690818787, -0.6860916018486023]",0.4,26.099999999999998,"[[ 2  4  0  0]
 [ 8  0  0  0]
 [ 4  8  2  0]
 [ 4 16  8  0]]","[[ 0  0  2  4]
 [ 2  0  0  8]
 [ 0  4  8  2]
 [ 0  4 16  8]]",False
0,0,2,"[0, 1, 2, 3]","[0.600151777267456, -0.20902955532073975, 0.03742799162864685, -0.5999588370323181]",0.4,26.499999999999996,"[[ 0  0  2  4]
 [ 2  0  0  8]
 [ 0  4  8  2]
 [ 0  4 16  8]]","[[ 0  0  2  4]
 [ 0  0  2  8]
 [ 2  4  8  2]
 [ 0  4 16  8]]",False
0,0,0,"[0, 1, 3]","[0.5810465812683105, -0.2370452880859375, 0.04925478994846344, -0.6176987886428833]",0.4,26.899999999999995,"[[ 0  0  2  4]
 [ 0  0  2  8]
 [ 2  4  8  2]
 [ 0  4 16  8]]","[[ 2  4  0  0]
 [ 2  8  0  0]
 [ 2  4  8  2]
 [ 4 16  8  2]]",False
0,0,2,"[1, 2, 3]","[0.6871163249015808, 0.015731915831565857, 0.25105470418930054, -0.6578034162521362]",0.4,27.299999999999994,"[[ 2  4  0  0]
 [ 2  8  0  0]
 [ 2  4  8  2]
 [ 4 16  8  2]]","[[ 0  0  2  4]
 [ 2  0  2  8]
 [ 2  4  8  2]
 [ 4 16  8  2]]",False
0,0,2,"[0, 1, 2, 3]","[0.48289886116981506, -0.22507810592651367, 0.1392427682876587, -0.5902085900306702]",0.8,28.099999999999994,"[[ 0  0  2  4]
 [ 2  0  2  8]
 [ 2  4  8  2]
 [ 4 16  8  2]]","[[ 0  0  2  4]
 [ 4  0  4  8]
 [ 2  4  8  2]
 [ 4 16  8  2]]",False
0,0,3,"[0, 1, 2, 3]","[0.5370846390724182, -0.2195659875869751, 0.1555095762014389, -0.6178591847419739]",2.4,30.499999999999993,"[[ 0  0  2  4]
 [ 4  0  4  8]
 [ 2  4  8  2]
 [ 4 16  8  2]]","[[ 0  0  0  2]
 [ 4  0  2  4]
 [ 2  4  4  8]
 [ 4 16 16  4]]",False
0,0,1,"[0, 1, 2]","[0.691597580909729, -0.0427851676940918, 0.25277480483055115, -0.695383608341217]",0.4,30.89999999999999,"[[ 0  0  0  2]
 [ 4  0  2  4]
 [ 2  4  4  8]
 [ 4 16 16  4]]","[[ 4  4  2  2]
 [ 2 16  4  4]
 [ 4  0 16  8]
 [ 2  0  0  4]]",False
0,0,2,"[0, 2, 3]","[0.4210953414440155, 0.20233270525932312, 0.09193086624145508, -0.4104372262954712]",2.4,33.29999999999999,"[[ 4  4  2  2]
 [ 2 16  4  4]
 [ 4  0 16  8]
 [ 2  0  0  4]]","[[ 0  0  8  4]
 [ 0  2 16  8]
 [ 2  4 16  8]
 [ 0  0  2  4]]",False
0,0,1,"[0, 1, 3]","[0.44318291544914246, -0.10652097314596176, 0.10634325444698334, -0.542748212814331]",10.3,43.599999999999994,"[[ 0  0  8  4]
 [ 0  2 16  8]
 [ 2  4 16  8]
 [ 0  0  2  4]]","[[ 2  2  8  4]
 [ 0  4 32 16]
 [ 0  2  2  4]
 [ 0  0  0  0]]",False
0,0,3,"[0, 2, 3]","[0.7149839401245117, -0.1167881041765213, 0.17704786360263824, -0.7441208362579346]",0.5,44.099999999999994,"[[ 2  2  8  4]
 [ 0  4 32 16]
 [ 0  2  2  4]
 [ 0  0  0  0]]","[[ 2  0  0  0]
 [ 0  2  8  4]
 [ 0  4 32 16]
 [ 2  2  2  4]]",False
