Episode,Action,Legal Moves,Reward,Total Reward,State,Next State,Done,Ho salvato
0,0,2,"[0, 1, 2, 3]",1.0,18.0,"[[ 2  8  8  0]
 [32  0  0  0]
 [ 4  0  2  0]
 [ 0  0  0  0]]","[[ 0  0  2 16]
 [ 0  2  0 32]
 [ 0  0  4  2]
 [ 0  0  0  0]]",False,True
0,0,2,"[0, 1, 2, 3]",0,18.0,"[[ 0  0  2 16]
 [ 0  2  0 32]
 [ 0  0  4  2]
 [ 0  0  0  0]]","[[ 0  0  2 16]
 [ 0  0  2 32]
 [ 0  0  4  2]
 [ 0  2  0  0]]",False,True
0,0,3,"[0, 1, 2, 3]",1.0,19.0,"[[ 0  0  2 16]
 [ 0  0  2 32]
 [ 0  0  4  2]
 [ 0  2  0  0]]","[[ 0  0  0  0]
 [ 0  0  2 16]
 [ 0  0  4 32]
 [ 0  2  4  2]]",False,True
0,0,0,"[0, 1, 3]",0,19.0,"[[ 0  0  0  0]
 [ 0  0  2 16]
 [ 0  0  4 32]
 [ 0  2  4  2]]","[[ 0  0  0  0]
 [ 2 16  2  0]
 [ 4 32  0  0]
 [ 2  4  2  0]]",False,True
0,0,0,"[1, 2, 3]",-0.0,19.0,"[[ 0  0  0  0]
 [ 2 16  2  0]
 [ 4 32  0  0]
 [ 2  4  2  0]]","[[ 0  0  0  0]
 [ 2 16  2  0]
 [ 4 32  0  0]
 [ 2  4  2  0]]",False,True
0,0,3,"[1, 2, 3]",1.0,20.0,"[[ 0  0  0  0]
 [ 2 16  2  0]
 [ 4 32  0  0]
 [ 2  4  2  0]]","[[ 0  0  0  0]
 [ 2 16  2  0]
 [ 4 32  0  0]
 [ 2  4  4  0]]",False,True
0,0,2,"[0, 1, 2, 3]",1.0,21.0,"[[ 0  0  0  0]
 [ 2 16  2  0]
 [ 4 32  0  0]
 [ 2  4  4  0]]","[[ 2  0  0  0]
 [ 0  2 16  2]
 [ 0  0  4 32]
 [ 0  0  2  8]]",False,True
0,0,2,"[0, 1, 2, 3]",0,21.0,"[[ 2  0  0  0]
 [ 0  2 16  2]
 [ 0  0  4 32]
 [ 0  0  2  8]]","[[ 0  0  0  2]
 [ 0  2 16  2]
 [ 0  0  4 32]
 [ 0  2  2  8]]",False,True
0,0,0,"[0, 1, 2, 3]",1.0,22.0,"[[ 0  0  0  2]
 [ 0  2 16  2]
 [ 0  0  4 32]
 [ 0  2  2  8]]","[[ 2  0  0  2]
 [ 2 16  2  0]
 [ 4 32  0  0]
 [ 4  8  0  0]]",False,True
0,0,3,"[0, 1, 2, 3]",1.0,23.0,"[[ 2  0  0  2]
 [ 2 16  2  0]
 [ 4 32  0  0]
 [ 4  8  0  0]]","[[ 0  0  0  0]
 [ 2 16  0  0]
 [ 4 32  0  0]
 [ 8  8  2  2]]",False,True
0,0,0,"[0, 1, 2]",1.0,24.0,"[[ 0  0  0  0]
 [ 2 16  0  0]
 [ 4 32  0  0]
 [ 8  8  2  2]]","[[ 0  0  0  2]
 [ 2 16  0  0]
 [ 4 32  0  0]
 [16  4  0  0]]",False,True
0,0,2,"[0, 1, 2, 3]",0,24.0,"[[ 0  0  0  2]
 [ 2 16  0  0]
 [ 4 32  0  0]
 [16  4  0  0]]","[[ 2  0  0  2]
 [ 0  0  2 16]
 [ 0  0  4 32]
 [ 0  0 16  4]]",False,True
0,0,1,"[0, 1, 2, 3]",0,24.0,"[[ 2  0  0  2]
 [ 0  0  2 16]
 [ 0  0  4 32]
 [ 0  0 16  4]]","[[ 2  0  2  2]
 [ 0  0  4 16]
 [ 4  0 16 32]
 [ 0  0  0  4]]",False,True
0,0,3,"[0, 1, 2, 3]",0,24.0,"[[ 2  0  2  2]
 [ 0  0  4 16]
 [ 4  0 16 32]
 [ 0  0  0  4]]","[[ 0  0  0  2]
 [ 0  0  2 16]
 [ 2  2  4 32]
 [ 4  0 16  4]]",False,True
0,0,2,"[0, 1, 2, 3]",1.0,25.0,"[[ 0  0  0  2]
 [ 0  0  2 16]
 [ 2  2  4 32]
 [ 4  0 16  4]]","[[ 0  0  0  2]
 [ 0  0  2 16]
 [ 0  4  4 32]
 [ 2  4 16  4]]",False,True
0,0,1,"[0, 1, 2, 3]",1.0,26.0,"[[ 0  0  0  2]
 [ 0  0  2 16]
 [ 0  4  4 32]
 [ 2  4 16  4]]","[[ 2  8  2  2]
 [ 0  2  4 16]
 [ 0  0 16 32]
 [ 0  0  0  4]]",False,True
0,0,1,"[0, 2, 3]",-0.0,26.0,"[[ 2  8  2  2]
 [ 0  2  4 16]
 [ 0  0 16 32]
 [ 0  0  0  4]]","[[ 2  8  2  2]
 [ 0  2  4 16]
 [ 0  0 16 32]
 [ 0  0  0  4]]",False,True
0,0,3,"[0, 2, 3]",0,26.0,"[[ 2  8  2  2]
 [ 0  2  4 16]
 [ 0  0 16 32]
 [ 0  0  0  4]]","[[ 0  0  2  2]
 [ 0  0  2 16]
 [ 0  8  4 32]
 [ 2  2 16  4]]",False,True
0,0,0,"[0, 1, 2, 3]",1.0,27.0,"[[ 0  0  2  2]
 [ 0  0  2 16]
 [ 0  8  4 32]
 [ 2  2 16  4]]","[[ 4  0  2  0]
 [ 2 16  0  0]
 [ 8  4 32  0]
 [ 4 16  4  0]]",False,True
0,0,3,"[0, 1, 2, 3]",0,27.0,"[[ 4  0  2  0]
 [ 2 16  0  0]
 [ 8  4 32  0]
 [ 4 16  4  0]]","[[ 4  0  0  0]
 [ 2 16  2  0]
 [ 8  4 32  0]
 [ 4 16  4  2]]",False,True
0,0,0,"[1, 2]",-0.0,27.0,"[[ 4  0  0  0]
 [ 2 16  2  0]
 [ 8  4 32  0]
 [ 4 16  4  2]]","[[ 4  0  0  0]
 [ 2 16  2  0]
 [ 8  4 32  0]
 [ 4 16  4  2]]",False,True
0,0,2,"[1, 2]",0,27.0,"[[ 4  0  0  0]
 [ 2 16  2  0]
 [ 8  4 32  0]
 [ 4 16  4  2]]","[[ 0  0  2  4]
 [ 0  2 16  2]
 [ 0  8  4 32]
 [ 4 16  4  2]]",False,True
0,0,3,"[0, 1, 3]",1.0,28.0,"[[ 0  0  2  4]
 [ 0  2 16  2]
 [ 0  8  4 32]
 [ 4 16  4  2]]","[[ 2  0  0  4]
 [ 0  2  2  2]
 [ 0  8 16 32]
 [ 4 16  8  2]]",False,True
0,0,2,"[0, 1, 2, 3]",1.0,29.0,"[[ 2  0  0  4]
 [ 0  2  2  2]
 [ 0  8 16 32]
 [ 4 16  8  2]]","[[ 0  0  2  4]
 [ 2  0  2  4]
 [ 0  8 16 32]
 [ 4 16  8  2]]",False,True
0,0,1,"[0, 1, 2, 3]",1.0,30.0,"[[ 0  0  2  4]
 [ 2  0  2  4]
 [ 0  8 16 32]
 [ 4 16  8  2]]","[[ 2  8  4  8]
 [ 4 16 16 32]
 [ 0  2  8  2]
 [ 0  0  0  0]]",False,True
0,0,1,"[0, 2, 3]",-0.0,30.0,"[[ 2  8  4  8]
 [ 4 16 16 32]
 [ 0  2  8  2]
 [ 0  0  0  0]]","[[ 2  8  4  8]
 [ 4 16 16 32]
 [ 0  2  8  2]
 [ 0  0  0  0]]",False,True
0,0,0,"[0, 2, 3]",1.0,31.0,"[[ 2  8  4  8]
 [ 4 16 16 32]
 [ 0  2  8  2]
 [ 0  0  0  0]]","[[ 2  8  4  8]
 [ 4 32 32  0]
 [ 2  8  2  0]
 [ 2  0  0  0]]",False,True
0,0,2,"[0, 1, 2, 3]",1.0,32.0,"[[ 2  8  4  8]
 [ 4 32 32  0]
 [ 2  8  2  0]
 [ 2  0  0  0]]","[[ 2  8  4  8]
 [ 0  0  4 64]
 [ 0  2  8  2]
 [ 0  2  0  2]]",False,True
0,0,1,"[0, 1, 2, 3]",1.0,33.0,"[[ 2  8  4  8]
 [ 0  0  4 64]
 [ 0  2  8  2]
 [ 0  2  0  2]]","[[ 2  8  8  8]
 [ 0  4  8 64]
 [ 0  0  0  4]
 [ 0  0  0  2]]",False,True
0,0,2,"[0, 1, 2, 3]",1.0,34.0,"[[ 2  8  8  8]
 [ 0  4  8 64]
 [ 0  0  0  4]
 [ 0  0  0  2]]","[[ 0  2  8 16]
 [ 2  4  8 64]
 [ 0  0  0  4]
 [ 0  0  0  2]]",False,True
0,0,0,"[0, 1, 3]",0,34.0,"[[ 0  2  8 16]
 [ 2  4  8 64]
 [ 0  0  0  4]
 [ 0  0  0  2]]","[[ 2  8 16  0]
 [ 2  4  8 64]
 [ 4  2  0  0]
 [ 2  0  0  0]]",False,True
0,0,1,"[1, 2, 3]",1.0,35.0,"[[ 2  8 16  0]
 [ 2  4  8 64]
 [ 4  2  0  0]
 [ 2  0  0  0]]","[[ 4  8 16 64]
 [ 4  4  8  0]
 [ 2  2  2  0]
 [ 0  0  0  0]]",False,True
0,0,1,"[0, 1, 2, 3]",1.0,36.0,"[[ 4  8 16 64]
 [ 4  4  8  0]
 [ 2  2  2  0]
 [ 0  0  0  0]]","[[ 8  8 16 64]
 [ 2  4  8  0]
 [ 2  2  2  0]
 [ 0  0  0  0]]",False,True
0,0,0,"[0, 1, 2, 3]",1.0,37.0,"[[ 8  8 16 64]
 [ 2  4  8  0]
 [ 2  2  2  0]
 [ 0  0  0  0]]","[[16 16 64  0]
 [ 2  4  8  2]
 [ 4  2  0  0]
 [ 0  0  0  0]]",False,True
0,0,1,"[0, 1, 2, 3]",0,37.0,"[[16 16 64  0]
 [ 2  4  8  2]
 [ 4  2  0  0]
 [ 0  0  0  0]]","[[16 16 64  2]
 [ 2  4  8  0]
 [ 4  2  0  0]
 [ 0  0  0  2]]",False,True
0,0,3,"[0, 1, 2, 3]",1.0,38.0,"[[16 16 64  2]
 [ 2  4  8  0]
 [ 4  2  0  0]
 [ 0  0  0  2]]","[[ 0  2  0  0]
 [16 16  0  0]
 [ 2  4 64  0]
 [ 4  2  8  4]]",False,True
0,0,3,"[0, 1, 2]",-0.0,38.0,"[[ 0  2  0  0]
 [16 16  0  0]
 [ 2  4 64  0]
 [ 4  2  8  4]]","[[ 0  2  0  0]
 [16 16  0  0]
 [ 2  4 64  0]
 [ 4  2  8  4]]",False,True
0,0,3,"[0, 1, 2]",-0.0,38.0,"[[ 0  2  0  0]
 [16 16  0  0]
 [ 2  4 64  0]
 [ 4  2  8  4]]","[[ 0  2  0  0]
 [16 16  0  0]
 [ 2  4 64  0]
 [ 4  2  8  4]]",False,True
0,0,1,"[0, 1, 2]",0,38.0,"[[ 0  2  0  0]
 [16 16  0  0]
 [ 2  4 64  0]
 [ 4  2  8  4]]","[[16  2 64  4]
 [ 2 16  8  0]
 [ 4  4  2  0]
 [ 0  2  0  0]]",False,True
0,0,0,"[0, 2, 3]",1.0,39.0,"[[16  2 64  4]
 [ 2 16  8  0]
 [ 4  4  2  0]
 [ 0  2  0  0]]","[[16  2 64  4]
 [ 2 16  8  0]
 [ 8  2  0  0]
 [ 2  0  0  2]]",False,True
