Episode,Action,Legal Moves,Q-Values,Reward,Total Reward,State,Next State,Done
0,0,1,"[0, 1, 2, 3]","[-0.05264221504330635, 0.06098132207989693, 0.08119579404592514, 0.1436377614736557]",2.0,23.900000000000002,"[[ 0  2  0  0]
 [ 4  0  0  0]
 [ 8  0  0  0]
 [ 8 16  4  0]]","[[ 4  2  4  0]
 [16 16  0  0]
 [ 0  0  0  0]
 [ 0  2  0  0]]",False
0,0,0,"[0, 1, 2, 3]","[-0.09482774138450623, 0.01117350161075592, 0.13527999818325043, 0.09967032074928284]",8.7,32.6,"[[ 4  2  4  0]
 [16 16  0  0]
 [ 0  0  0  0]
 [ 0  2  0  0]]","[[ 4  2  4  0]
 [32  0  0  0]
 [ 2  0  0  0]
 [ 2  0  0  0]]",False
0,0,0,"[1, 2, 3]","[-0.09776262193918228, 0.043070532381534576, 0.13976794481277466, 0.15607762336730957]",-1,31.6,"[[ 4  2  4  0]
 [32  0  0  0]
 [ 2  0  0  0]
 [ 2  0  0  0]]","[[ 4  2  4  0]
 [32  0  0  0]
 [ 2  0  0  0]
 [ 2  0  0  0]]",False
0,0,2,"[1, 2, 3]","[-0.09776262193918228, 0.043070532381534576, 0.13976794481277466, 0.15607762336730957]",0.5,32.1,"[[ 4  2  4  0]
 [32  0  0  0]
 [ 2  0  0  0]
 [ 2  0  0  0]]","[[ 0  4  2  4]
 [ 0  0  2 32]
 [ 0  0  0  2]
 [ 0  0  0  2]]",False
0,0,2,"[0, 1, 3]","[-0.08515600860118866, 0.04447872191667557, 0.13402482867240906, 0.13836143910884857]",-1,31.1,"[[ 0  4  2  4]
 [ 0  0  2 32]
 [ 0  0  0  2]
 [ 0  0  0  2]]","[[ 0  4  2  4]
 [ 0  0  2 32]
 [ 0  0  0  2]
 [ 0  0  0  2]]",False
0,0,2,"[0, 1, 3]","[-0.08515600860118866, 0.04447872191667557, 0.13402482867240906, 0.13836143910884857]",-1,30.1,"[[ 0  4  2  4]
 [ 0  0  2 32]
 [ 0  0  0  2]
 [ 0  0  0  2]]","[[ 0  4  2  4]
 [ 0  0  2 32]
 [ 0  0  0  2]
 [ 0  0  0  2]]",False
0,0,2,"[0, 1, 3]","[-0.08515600860118866, 0.04447872191667557, 0.13402482867240906, 0.13836143910884857]",-1,29.1,"[[ 0  4  2  4]
 [ 0  0  2 32]
 [ 0  0  0  2]
 [ 0  0  0  2]]","[[ 0  4  2  4]
 [ 0  0  2 32]
 [ 0  0  0  2]
 [ 0  0  0  2]]",False
0,0,3,"[0, 1, 3]","[-0.08515600860118866, 0.04447872191667557, 0.13402482867240906, 0.13836143910884857]",1.3,30.400000000000002,"[[ 0  4  2  4]
 [ 0  0  2 32]
 [ 0  0  0  2]
 [ 0  0  0  2]]","[[ 0  0  0  0]
 [ 0  0  2  4]
 [ 0  0  0 32]
 [ 0  4  4  4]]",False
0,0,2,"[0, 1, 2, 3]","[-0.06075103208422661, -0.03056769073009491, 0.04847745597362518, 0.05921158939599991]",1.3,31.700000000000003,"[[ 0  0  0  0]
 [ 0  0  2  4]
 [ 0  0  0 32]
 [ 0  4  4  4]]","[[ 0  0  0  0]
 [ 0  2  2  4]
 [ 0  0  0 32]
 [ 0  0  4  8]]",False
0,0,2,"[0, 1, 2, 3]","[-0.041685860604047775, 0.00029134005308151245, 0.04310514032840729, 0.06128575652837753]",0.9,32.6,"[[ 0  0  0  0]
 [ 0  2  2  4]
 [ 0  0  0 32]
 [ 0  0  4  8]]","[[ 0  0  0  0]
 [ 2  0  4  4]
 [ 0  0  0 32]
 [ 0  0  4  8]]",False
0,0,3,"[0, 1, 2, 3]","[-0.03253653645515442, 0.019800923764705658, 0.04637715965509415, 0.06132970750331879]",1.3,33.9,"[[ 0  0  0  0]
 [ 2  0  4  4]
 [ 0  0  0 32]
 [ 0  0  4  8]]","[[ 0  2  0  0]
 [ 0  0  0  4]
 [ 0  0  0 32]
 [ 2  0  8  8]]",False
